_from,_to
anolis2_internal/80,anolis2_internal/98
anolis2_internal/98,anolis2_internal/14
anolis2_internal/14,anolis2_internal/60
anolis2_internal/60,anolis2_internal/63
anolis2_internal/63,anolis2_internal/50
anolis2_internal/50,anolis2_internal/89
anolis2_internal/89,anolis2_internal/79
anolis2_internal/79,anolis2_leaf/84
anolis2_internal/79,anolis2_leaf/32
anolis2_internal/89,anolis2_leaf/70
anolis2_internal/50,anolis2_leaf/78
anolis2_internal/63,anolis2_internal/34
anolis2_internal/34,anolis2_internal/35
anolis2_internal/35,anolis2_internal/74
anolis2_internal/74,anolis2_internal/54
anolis2_internal/54,anolis2_leaf/72
anolis2_internal/54,anolis2_internal/7
anolis2_internal/7,anolis2_leaf/22
anolis2_internal/7,anolis2_leaf/13
anolis2_internal/74,anolis2_leaf/60
anolis2_internal/35,anolis2_leaf/46
anolis2_internal/34,anolis2_internal/55
anolis2_internal/55,anolis2_internal/53
anolis2_internal/53,anolis2_internal/76
anolis2_internal/76,anolis2_leaf/28
anolis2_internal/76,anolis2_leaf/5
anolis2_internal/53,anolis2_leaf/40
anolis2_internal/55,anolis2_leaf/86
anolis2_internal/60,anolis2_internal/21
anolis2_internal/21,anolis2_internal/11
anolis2_internal/11,anolis2_internal/85
anolis2_internal/85,anolis2_internal/66
anolis2_internal/66,anolis2_leaf/53
anolis2_internal/66,anolis2_leaf/64
anolis2_internal/85,anolis2_leaf/31
anolis2_internal/11,anolis2_leaf/77
anolis2_internal/21,anolis2_internal/86
anolis2_internal/86,anolis2_leaf/58
anolis2_internal/86,anolis2_leaf/98
anolis2_internal/14,anolis2_internal/26
anolis2_internal/26,anolis2_internal/49
anolis2_internal/49,anolis2_internal/69
anolis2_internal/69,anolis2_leaf/16
anolis2_internal/69,anolis2_leaf/81
anolis2_internal/49,anolis2_internal/17
anolis2_internal/17,anolis2_internal/2
anolis2_internal/2,anolis2_internal/84
anolis2_internal/84,anolis2_leaf/75
anolis2_internal/84,anolis2_leaf/3
anolis2_internal/2,anolis2_internal/41
anolis2_internal/41,anolis2_leaf/73
anolis2_internal/41,anolis2_leaf/61
anolis2_internal/17,anolis2_internal/92
anolis2_internal/92,anolis2_leaf/34
anolis2_internal/92,anolis2_leaf/21
