_from,_to
anolis_internal/36,anolis_internal/16
anolis_internal/16,anolis_internal/0
anolis_internal/0,anolis_internal/38
anolis_internal/38,anolis_internal/44
anolis_internal/44,anolis_internal/118
anolis_internal/118,anolis_internal/46
anolis_internal/46,anolis_internal/106
anolis_internal/106,anolis_internal/81
anolis_internal/81,anolis_internal/116
anolis_internal/116,anolis_internal/7
anolis_internal/7,anolis_internal/31
anolis_internal/31,anolis_internal/84
anolis_internal/84,anolis_internal/66
anolis_internal/66,anolis_internal/54
anolis_internal/54,anolis_internal/12
anolis_internal/12,anolis_internal/97
anolis_internal/97,anolis_internal/6
anolis_internal/6,anolis_internal/26
anolis_internal/26,anolis_internal/67
anolis_internal/67,anolis_internal/78
anolis_internal/78,anolis_leaf/66
anolis_internal/78,anolis_leaf/79
anolis_internal/67,anolis_leaf/143
anolis_internal/26,anolis_internal/2
anolis_internal/2,anolis_internal/79
anolis_internal/79,anolis_leaf/125
anolis_internal/79,anolis_leaf/15
anolis_internal/2,anolis_leaf/25
anolis_internal/6,anolis_internal/98
anolis_internal/98,anolis_internal/58
anolis_internal/58,anolis_leaf/104
anolis_internal/58,anolis_leaf/22
anolis_internal/98,anolis_leaf/111
anolis_internal/97,anolis_internal/8
anolis_internal/8,anolis_internal/104
anolis_internal/104,anolis_internal/14
anolis_internal/14,anolis_leaf/18
anolis_internal/14,anolis_internal/91
anolis_internal/91,anolis_leaf/57
anolis_internal/91,anolis_leaf/94
anolis_internal/104,anolis_leaf/113
anolis_internal/8,anolis_leaf/27
anolis_internal/12,anolis_internal/71
anolis_internal/71,anolis_internal/75
anolis_internal/75,anolis_internal/5
anolis_internal/5,anolis_leaf/8
anolis_internal/5,anolis_leaf/96
anolis_internal/75,anolis_internal/119
anolis_internal/119,anolis_leaf/46
anolis_internal/119,anolis_leaf/82
anolis_internal/71,anolis_internal/126
anolis_internal/126,anolis_leaf/51
anolis_internal/126,anolis_leaf/43
anolis_internal/54,anolis_internal/52
anolis_internal/52,anolis_internal/32
anolis_internal/32,anolis_internal/15
anolis_internal/15,anolis_internal/85
anolis_internal/85,anolis_internal/123
anolis_internal/123,anolis_internal/33
anolis_internal/33,anolis_leaf/62
anolis_internal/33,anolis_leaf/31
anolis_internal/123,anolis_leaf/69
anolis_internal/85,anolis_leaf/63
anolis_internal/15,anolis_internal/88
anolis_internal/88,anolis_internal/20
anolis_internal/20,anolis_leaf/109
anolis_internal/20,anolis_leaf/53
anolis_internal/88,anolis_leaf/86
anolis_internal/32,anolis_internal/48
anolis_internal/48,anolis_internal/17
anolis_internal/17,anolis_leaf/44
anolis_internal/17,anolis_leaf/9
anolis_internal/48,anolis_leaf/48
anolis_internal/52,anolis_internal/76
anolis_internal/76,anolis_internal/42
anolis_internal/42,anolis_leaf/14
anolis_internal/42,anolis_leaf/135
anolis_internal/76,anolis_internal/47
anolis_internal/47,anolis_leaf/91
anolis_internal/47,anolis_leaf/1
anolis_internal/66,anolis_internal/108
anolis_internal/108,anolis_leaf/50
anolis_internal/108,anolis_leaf/42
anolis_internal/84,anolis_internal/64
anolis_internal/64,anolis_leaf/47
anolis_internal/64,anolis_leaf/93
anolis_internal/31,anolis_internal/105
anolis_internal/105,anolis_leaf/54
anolis_internal/105,anolis_leaf/6
anolis_internal/7,anolis_internal/131
anolis_internal/131,anolis_internal/27
anolis_internal/27,anolis_internal/68
anolis_internal/68,anolis_internal/34
anolis_internal/34,anolis_leaf/146
anolis_internal/34,anolis_leaf/134
anolis_internal/68,anolis_leaf/49
anolis_internal/27,anolis_internal/124
anolis_internal/124,anolis_leaf/20
anolis_internal/124,anolis_leaf/116
anolis_internal/131,anolis_internal/41
anolis_internal/41,anolis_internal/138
anolis_internal/138,anolis_internal/86
anolis_internal/86,anolis_leaf/41
anolis_internal/86,anolis_leaf/4
anolis_internal/138,anolis_leaf/0
anolis_internal/41,anolis_internal/37
anolis_internal/37,anolis_leaf/112
anolis_internal/37,anolis_leaf/102
anolis_internal/116,anolis_internal/115
anolis_internal/115,anolis_internal/101
anolis_internal/101,anolis_internal/45
anolis_internal/45,anolis_internal/21
anolis_internal/21,anolis_internal/60
anolis_internal/60,anolis_leaf/76
anolis_internal/60,anolis_leaf/137
anolis_internal/21,anolis_internal/53
anolis_internal/53,anolis_internal/3
anolis_internal/3,anolis_leaf/132
anolis_internal/3,anolis_leaf/87
anolis_internal/53,anolis_leaf/64
anolis_internal/45,anolis_leaf/38
anolis_internal/101,anolis_internal/133
anolis_internal/133,anolis_internal/23
anolis_internal/23,anolis_leaf/114
anolis_internal/23,anolis_leaf/78
anolis_internal/133,anolis_leaf/56
anolis_internal/115,anolis_internal/102
anolis_internal/102,anolis_internal/19
anolis_internal/19,anolis_leaf/105
anolis_internal/19,anolis_leaf/145
anolis_internal/102,anolis_leaf/98
anolis_internal/81,anolis_internal/107
anolis_internal/107,anolis_internal/13
anolis_internal/13,anolis_leaf/10
anolis_internal/13,anolis_leaf/21
anolis_internal/107,anolis_internal/49
anolis_internal/49,anolis_internal/89
anolis_internal/89,anolis_leaf/139
anolis_internal/89,anolis_leaf/30
anolis_internal/49,anolis_leaf/80
anolis_internal/106,anolis_internal/134
anolis_internal/134,anolis_internal/87
anolis_internal/87,anolis_internal/137
anolis_internal/137,anolis_internal/61
anolis_internal/61,anolis_leaf/33
anolis_internal/61,anolis_leaf/128
anolis_internal/137,anolis_leaf/103
anolis_internal/87,anolis_internal/69
anolis_internal/69,anolis_leaf/90
anolis_internal/69,anolis_leaf/107
anolis_internal/134,anolis_leaf/16
anolis_internal/46,anolis_internal/22
anolis_internal/22,anolis_internal/125
anolis_internal/125,anolis_internal/59
anolis_internal/59,anolis_internal/55
anolis_internal/55,anolis_leaf/136
anolis_internal/55,anolis_leaf/95
anolis_internal/59,anolis_leaf/52
anolis_internal/125,anolis_internal/65
anolis_internal/65,anolis_leaf/89
anolis_internal/65,anolis_leaf/60
anolis_internal/22,anolis_leaf/117
anolis_internal/118,anolis_leaf/118
anolis_internal/44,anolis_internal/72
anolis_internal/72,anolis_internal/39
anolis_internal/39,anolis_internal/74
anolis_internal/74,anolis_internal/135
anolis_internal/135,anolis_leaf/121
anolis_internal/135,anolis_leaf/130
anolis_internal/74,anolis_internal/144
anolis_internal/144,anolis_internal/30
anolis_internal/30,anolis_leaf/144
anolis_internal/30,anolis_leaf/70
anolis_internal/144,anolis_leaf/37
anolis_internal/39,anolis_internal/50
anolis_internal/50,anolis_internal/132
anolis_internal/132,anolis_leaf/58
anolis_internal/132,anolis_leaf/29
anolis_internal/50,anolis_leaf/123
anolis_internal/72,anolis_internal/51
anolis_internal/51,anolis_internal/143
anolis_internal/143,anolis_internal/28
anolis_internal/28,anolis_internal/113
anolis_internal/113,anolis_internal/103
anolis_internal/103,anolis_internal/139
anolis_internal/139,anolis_leaf/40
anolis_internal/139,anolis_leaf/34
anolis_internal/103,anolis_leaf/127
anolis_internal/113,anolis_leaf/119
anolis_internal/28,anolis_leaf/140
anolis_internal/143,anolis_leaf/74
anolis_internal/51,anolis_leaf/35
anolis_internal/38,anolis_internal/130
anolis_internal/130,anolis_internal/99
anolis_internal/99,anolis_internal/40
anolis_internal/40,anolis_leaf/32
anolis_internal/40,anolis_internal/62
anolis_internal/62,anolis_leaf/11
anolis_internal/62,anolis_leaf/24
anolis_internal/99,anolis_internal/77
anolis_internal/77,anolis_leaf/65
anolis_internal/77,anolis_leaf/108
anolis_internal/130,anolis_internal/100
anolis_internal/100,anolis_leaf/99
anolis_internal/100,anolis_leaf/28
anolis_internal/0,anolis_internal/43
anolis_internal/43,anolis_internal/10
anolis_internal/10,anolis_internal/111
anolis_internal/111,anolis_leaf/120
anolis_internal/111,anolis_leaf/2
anolis_internal/10,anolis_leaf/45
anolis_internal/43,anolis_internal/127
anolis_internal/127,anolis_leaf/7
anolis_internal/127,anolis_leaf/84
anolis_internal/16,anolis_internal/4
anolis_internal/4,anolis_internal/129
anolis_internal/129,anolis_internal/136
anolis_internal/136,anolis_internal/29
anolis_internal/29,anolis_leaf/122
anolis_internal/29,anolis_leaf/68
anolis_internal/136,anolis_internal/110
anolis_internal/110,anolis_internal/114
anolis_internal/114,anolis_leaf/131
anolis_internal/114,anolis_leaf/81
anolis_internal/110,anolis_leaf/71
anolis_internal/129,anolis_internal/1
anolis_internal/1,anolis_leaf/106
anolis_internal/1,anolis_leaf/77
anolis_internal/4,anolis_leaf/13
anolis_internal/36,anolis_internal/128
anolis_internal/128,anolis_internal/63
anolis_internal/63,anolis_internal/95
anolis_internal/95,anolis_internal/90
anolis_internal/90,anolis_internal/73
anolis_internal/73,anolis_internal/9
anolis_internal/9,anolis_leaf/26
anolis_internal/9,anolis_internal/18
anolis_internal/18,anolis_leaf/101
anolis_internal/18,anolis_leaf/75
anolis_internal/73,anolis_internal/142
anolis_internal/142,anolis_internal/109
anolis_internal/109,anolis_internal/117
anolis_internal/117,anolis_leaf/3
anolis_internal/117,anolis_leaf/85
anolis_internal/109,anolis_leaf/19
anolis_internal/142,anolis_leaf/110
anolis_internal/90,anolis_internal/25
anolis_internal/25,anolis_internal/24
anolis_internal/24,anolis_leaf/142
anolis_internal/24,anolis_leaf/97
anolis_internal/25,anolis_internal/56
anolis_internal/56,anolis_leaf/115
anolis_internal/56,anolis_leaf/83
anolis_internal/95,anolis_internal/96
