island/mainland,Group,Clade,Nmorpho,SVL,Tail,Head_length,Head_width,Head_depth,Lower_jaw_length,Outlever,Snout,Open,Close,Interlimb,Body_height,Body_width,Femur,Tibia,Tarsus,Ltoe,Hind_limb_length,Humerus,Radius,Carpus,Longest_toe,Forelimb_length,label,_key,length
I,I2,Norops,9,61.51,99.41,18.79,9.8,7.08,18.85,17.71,14.77,1.13,2.94,29.23,6.97,7.98,14.23,13.84,4.86,10.51,43.43,10.26,9.63,2.27,7.07,29.24,grahami,0,11.50719971
M,M2b,Norops,4,51.2,108.7,14.17,6.92,5.99,13.93,12.9,11.03,1.03,1.87,25.04,6.04,5.56,10.61,10.48,6.27,6.89,34.25,8.15,5.22,2.45,3.84,19.65,kemptoni,1,12.04109274
I,I2,Anolis,3,34.2,90.95,11.22,4.85,4.31,10.92,9.97,8.41,0.96,1.55,15.49,4.42,3.76,8.92,8.81,5.25,5.52,28.49,5.4,4.01,1.79,2.44,13.64,alutaceus,2,21.027853786
M,M1,Dactyloa,1,90.08,175.8,22.45,12.14,9.91,22.16,20.84,15.85,1.32,4.99,43.24,12.9,11.98,22.9,22.04,12.17,13.92,71.03,18.48,14.65,6.21,6.85,46.19,maculigula,3,23.4049754263
M,M2a,Norops,3,49.47,107.1,13.9,7.81,6.56,13.68,12.68,10.64,1,2.04,23.38,7.25,6.13,13.85,13.89,8.48,8.1,44.31,9.09,7.72,3.08,4.22,24.12,notopholis,4,23.56585463
M,M1,Dactyloa,1,52.04,71.17,17.19,7.74,6.65,17.05,15.82,13.61,1.23,2.21,23.24,6.66,6.44,7.74,8.22,4.6,5.13,25.69,8.13,5.64,2.34,3.07,19.18,nicefori,5,9.656900881
I,I2,Anolis,16,64.49,104.59,18.98,10.64,7.98,19.64,17.98,14.55,1.67,3.43,30.25,10.79,11.17,14.43,14.46,9.02,9.63,64.49,12.51,9.9,3.72,5.05,31.18,marmoratus,6,5.504998675
M,M1,Dactyloa,15,48.31,92.74,13.11,6.75,5.02,12.83,11.89,10.03,0.94,1.86,25.47,5.97,7.09,10.4,10.98,7.08,9.23,37.69,8.99,7.51,3.14,5.1,24.74,peraccae,7,8.28468825
I,I2,Anolis,30,70.28,125.86,22.54,9.9,7.25,24.19,22.03,18.5,2.16,3.54,32.79,9.48,10.43,13.2,13.68,8.41,10.37,45.66,11.37,9.74,3.57,5.81,30.49,maynardi,8,25.5886334829
M,M2a,Norops,3,47.16,83.2,13.16,7.41,5.81,12.95,11.94,10.02,1.01,1.92,20.87,5.54,7.51,10.72,9.88,6.26,7.03,33.89,9.42,6.87,2.75,4.26,23.31,ortonii,9,26.73417714
M,M1,Dactyloa,7,77.96,183.22,20.88,10.68,8.93,20.57,18.88,15.94,1.69,2.94,37.65,10.99,10.24,20.75,20.82,13.31,15.69,70.56,16.61,13.26,4.4,8.7,42.97,fitchi,10,31.6424641
I,I2,Anolis,3,39.46,83.37,12.5,5.69,5.1,12.86,11.73,9.66,1.13,2.08,17.92,5.5,5.5,9.65,9.94,5.97,6.44,31.99,6.36,5.01,2.01,2.73,16.1,koopmani,11,18.81544644
M,M2a,Norops,2,44.12,69.49,12.54,7.3,5.17,12.37,11.33,9.25,1.05,2.08,17.93,4.8,6.69,8.45,9.86,6.09,5.76,30.15,7.29,5.65,3.22,5.69,21.85,microlepidotus,12,13.584889875
M,M2a,Norops,3,53.58,103.32,14.69,8.45,6.84,14.9,13.61,11.04,1.29,2.57,25.97,7.74,9.29,12.71,12.29,7.79,7.83,40.62,9.96,8.13,3.05,3.72,24.87,dunni,13,6.277618279
I,I2,Anolis,25,66.3,99.46,19.56,10.48,7.94,19.15,18.06,14.81,1.18,3.26,32.6,7.91,7.53,17.47,16.93,7.04,13.18,54.09,11.99,11.26,2.81,8.26,33.99,cristatellus,14,15.460000917
M,M2a,Norops,1,58.69,74.86,15.62,9.43,6.95,15.99,14.69,12.07,1.3,2.62,24.89,7.7,9.73,9.27,10.16,6.57,4.4,30.4,10.67,6.68,2.75,3.75,23.85,charlesmyeri,15,14.136399677
M,M2b,Norops,40,45.39,86.6,12.58,6.67,5.19,12.55,11.65,9.89,0.9,1.76,22.06,5.98,6.14,11.22,11.95,7.08,8.74,38.98,8.07,6.86,2.37,4.65,21.95,apletophallus,16,6.468644213
M,M1,Dactyloa,6,71.34,105.89,20.97,10.56,9.3,20.4,18.94,15.36,1.46,3.58,36.04,12.49,13.44,12.14,10.83,6.39,8.68,38.04,10.78,9.44,3.76,6.48,30.46,heterodermus,17,9.656900878
M,M2b,Norops,2,49.73,91.29,14.11,7.92,6.44,14.1,12.85,10.91,1.26,1.94,22.78,6.84,8.75,12.45,12.61,7.67,7.54,40.26,9.37,6.85,2.71,3.48,22.4,magnaphallus,18,12.37094255
I,I2,Anolis,81,66.99,111.41,17.32,11.92,9.36,21.36,19.24,16.12,2.12,3.12,28.55,12.31,12.88,16.96,17.88,10.61,10.09,55.55,11.35,10.81,4.01,5.29,31.45,oculatus,19,11.97439664
I,I2,Anolis,3,34.67,80.01,11.13,4.29,3.78,10.87,9.93,8.37,0.94,1.56,15.25,3.83,3.31,8.54,8.31,5.14,4.68,26.67,5.33,3.81,1.51,2.18,12.83,vanidicus,20,21.02785379144
M,M2a,Norops,3,36.66,64.57,11.4,6.49,4.74,11.19,10.28,8.38,0.91,1.9,16.5,4.53,6.76,7.7,7.7,4.87,5.32,25.59,6.44,4.82,2.07,2.54,15.87,laeviventris,21,26.734177148
M,M2b,Norops,7,36.96,57.93,10.87,6.06,4.68,10.72,9.85,8.28,0.87,1.57,15.55,4.81,4.9,9.31,9.73,5.74,6.29,31.07,6.78,5.52,1.97,3.41,17.68,rodriguezii,22,18.249692172
I,I2,Anolis,39,55.42,79.39,15.89,8.77,6.62,16.2,14.89,12.17,1.32,2.72,25.89,8.58,8.23,12.74,13.68,8.47,8.38,43.27,10.02,8.79,3.06,4.3,26.17,scriptus,23,15.46000092
I,I2,Anolis,3,44.38,80.62,13.58,7.98,6.26,13.93,12.58,10.52,1.34,2.06,19.37,6.63,6.27,8.61,8.79,5.87,6.46,29.73,8.06,6.62,2.56,3.62,20.86,argillaceus,24,5.240132409
M,M1,Dactyloa,3,77.39,185,21.83,11,9.37,23.11,20.97,17.67,2.14,3.31,37.07,10.91,12.52,16.85,17.58,10.83,10.18,55.45,14.09,10.82,3.78,5.18,33.88,punctatus,25,12.37401803
M,M2a,Norops,2,55.94,73.06,15.54,8.73,6.52,15.33,14.22,11.79,1.11,2.43,27.65,7.81,10.66,10.23,10,6.15,6.8,33.16,9.5,7.36,3.18,4.36,24.4,beckeri,26,12.825882597
M,M2a,Norops,15,43.17,95.69,12.65,6.48,5.13,12.49,11.44,9.66,1.05,1.78,20.79,6.13,5.77,9.37,10.21,6.4,7.08,33.05,7.5,6.06,2.09,3.63,19.28,sericeus,27,9.064011043
M,M2a,Norops,11,60.58,77.34,16.88,9.81,7.12,17.12,15.75,12.91,1.37,2.83,30.37,8.39,9.17,11.31,10.85,6.67,7.96,36.79,10.49,8.05,3.22,5.04,26.8,pentaprion,28,12.82588259
M,M2a,Norops,7,83.27,154.9,21.48,13.91,10.7,21.91,20.37,16.97,1.54,3.4,40.63,12.5,13.68,23.14,24.89,14.24,15.29,77.56,16.15,13.95,4.93,8.12,43.15,capito,29,17.83163601
M,M2a,Norops,2,64.34,124.07,17.27,9.59,8.29,18.48,17.02,13.72,1.46,3.3,29.38,8.71,9.32,17.99,16.49,10.05,10.28,54.8,14.26,10.93,3.51,5.45,34.14,gadovii,30,23.29980215
M,M2b,Norops,6,47.68,83.96,13.21,7.24,5.85,13.32,12.34,10.45,0.98,1.9,22.73,6.64,7.3,10.91,10.91,6.85,7.15,35.82,8.07,6.14,2.78,3.97,20.96,mariarum,31,4.480661897
M,M2a,Norops,1,67.42,125.73,17.06,10.01,7.81,18.16,16.22,13.83,1.94,2.39,31.53,7.73,10.17,17.33,15.63,10.17,10.28,53.41,12.37,10.37,3.43,5.11,31.28,taylori,32,6.277618279
I,I2,Anolis,1,73.98,87.66,24.56,11.22,9.69,24.74,23.15,19.18,1.59,3.97,32.59,9.96,10.48,14.26,12.32,7.49,8.58,42.65,12.02,9.19,3.69,4.86,29.76,darlingtoni,33,24.35373046
M,M1,Dactyloa,1,78.78,188.47,20.57,10.98,9.91,21.07,19.58,16.04,1.49,3.54,40.69,10.23,12.11,22.04,20.86,12.21,10.9,66.01,15.44,13.28,3.96,5.35,38.03,ibanezi,34,14.13853427
M,M2a,Norops,2,65.84,129.91,17.58,10.23,8.2,17.96,16.31,13.23,1.65,3.08,32.4,10.55,11.74,16.16,16.5,10.48,11.1,54.22,13.07,11.38,3.96,6.66,35.06,annectens,35,13.51281714
M,M2b,Norops,6,58.92,131.91,16.38,8.64,6.77,16.1,14.92,12.39,1.18,2.54,28.45,7.63,8.04,13.55,13.59,8.75,9.93,45.82,10.46,8.44,3.23,5.53,27.67,lyra,36,5.760172981
I,I2,Anolis,3,57.62,113.06,17.7,10.29,7.9,18.93,16.98,13.7,1.95,3.28,27.76,9.85,10.79,14.3,13.73,8.5,9.12,45.65,11.21,8.99,3.64,5.04,28.88,sabanus,37,5.504998675
M,M2a,Norops,3,39.98,71.36,11.7,6.71,5.49,11.85,10.63,8.72,1.22,1.9,17.85,6.02,7.33,8.52,9.03,5.82,5.63,29.01,6.92,5.44,2.19,3.38,17.93,quercorum,38,20.72947833
I,I2,Anolis,29,79.31,107.77,23.59,13.09,9.88,24.91,22.59,17.98,2.32,4.61,35.38,12.27,12.04,17.67,17.78,11.45,11.54,58.45,14.01,13.04,4.56,6.62,38.06,nubilus,39,6.5933502096
I,I2,Anolis,3,47.05,114.11,15.87,6.21,5.4,16.63,14.66,12.55,1.98,2.11,21.68,5.42,5.97,11.11,11.94,7.39,7.43,37.87,8.25,5.71,2.17,3.29,19.41,hendersoni,40,8.329978192
M,M1,Dactyloa,2,69.7,133.74,18.92,10.13,9.03,18.72,17.13,14.71,1.59,2.43,34.15,9.07,10.13,16.38,16.96,9.8,9.64,52.78,13.13,9.66,3.5,5.05,31.33,transversalis,41,12.37401803
M,M2b,Norops,1,67.44,143,18.59,11.04,8.87,19.4,17.57,14.88,1.83,2.69,31.47,9.6,10.39,17.26,17.36,11.41,10.11,56.14,12.37,10.7,3.48,5.07,31.62,serranoi,42,13.05039052
M,M2b,Norops,3,45.57,71.53,13.47,7.46,6.28,12.98,11.57,9.62,1.42,1.94,20.73,6.15,9.15,11.95,11.97,7.4,7.55,38.88,7.93,6.26,3.13,3.78,21.11,pachypus,43,7.555591069
I,I2,Anolis,3,55.58,72.66,17.86,9.7,7.76,18.72,16.83,13.76,1.89,3.07,23.28,10.49,12.06,13.67,14.31,8.58,9.17,45.73,10.55,9.11,3.11,4.44,27.21,acutus,44,9.160982222
M,M2b,Norops,3,39.96,73.98,11.3,5.88,4.94,11.11,10.19,8.39,0.92,1.8,18.56,4.82,6.14,10.12,9.94,5.66,6.3,32.02,7.45,5.72,2.24,2.99,18.39,fuscoauratus,45,4.059333908
M,M2a,Norops,1,48.7,91.45,14.98,8.72,6.83,14.72,13.2,10.78,1.52,2.42,23.66,7.51,7.69,10.47,11.77,8.02,8.15,38.41,8.98,7,3.28,4.28,23.54,liogaster,46,14.04316509
M,M2b,Norops,17,66.05,91.75,16.41,8.96,7.01,16.64,15.56,12.72,1.08,2.84,32.91,9.19,8.33,17.54,16.86,9.94,11.18,55.52,12.17,10.41,4.23,6.88,33.69,poecilopus,47,11.88677173
M,M2b,Norops,3,40.09,73.76,12.27,6.88,5.77,12.04,10.82,9.08,1.23,1.74,17.84,6.24,6.38,10.65,10.7,6.44,6.04,33.83,7.3,5.55,1.98,3.1,17.93,yoroensis,48,11.226947578
I,I2,Anolis,3,73,139.23,21.89,11.84,9.43,23.06,20.82,17.03,2.24,3.79,34.12,10.93,12.36,20.3,19.85,11.63,11.06,62.84,14.46,12.87,3.55,6.5,37.37,bartschi,49,27.37050823
M,M2a,Norops,3,43.89,85.22,13.55,8.33,6.63,14.05,12.72,10.7,1.33,2.02,19.18,7.19,7.14,10.44,10.45,6.44,6.72,34.04,8.59,6.58,2.66,3.55,21.38,crassulus,50,15.99704389
M,M1,Dactyloa,5,124.3,249.68,31.11,17.84,14.45,32.23,29.61,24.41,2.62,5.2,63.24,18.23,15.71,31.95,33.06,19.35,20.7,105.05,26.46,21.23,7.07,11.33,66.08,frenatus,51,13.90872378
