_from,_to
geospiza_internal/11,geospiza_internal/5
geospiza_internal/5,geospiza_internal/8
geospiza_internal/8,geospiza_internal/10
geospiza_internal/10,geospiza_internal/6
geospiza_internal/6,geospiza_internal/9
geospiza_internal/9,geospiza_internal/4
geospiza_internal/4,geospiza_internal/3
geospiza_internal/3,geospiza_internal/7
geospiza_internal/7,geospiza_leaf/0
geospiza_internal/7,geospiza_leaf/7
geospiza_internal/3,geospiza_leaf/10
geospiza_internal/4,geospiza_leaf/8
geospiza_internal/9,geospiza_leaf/1
geospiza_internal/6,geospiza_leaf/6
geospiza_internal/10,geospiza_internal/1
geospiza_internal/1,geospiza_leaf/3
geospiza_internal/1,geospiza_internal/2
geospiza_internal/2,geospiza_internal/0
geospiza_internal/0,geospiza_leaf/12
geospiza_internal/0,geospiza_leaf/9
geospiza_internal/2,geospiza_leaf/4
geospiza_internal/8,geospiza_leaf/11
geospiza_internal/5,geospiza_leaf/2
geospiza_internal/11,geospiza_leaf/5
