wingL,tarsusL,culmenL,beakD,gonysW,label,_key,length
4.132957,2.806514,2.094971,1.941157,1.845379,fuliginosa,0,0.055
4.261222,2.929033,2.621789,2.1447,2.036944,scandens,1,0.1925
3.975393,2.936536,2.051843,1.191264,1.401186,fusca,2,0.53409
4.265425,3.08945,2.43025,2.01635,1.949125,pallida,3,0.08667
4.2325,3.0359,2.187,2.0734,1.9621,pauper,4,0.035
4.1886,2.9802,2.3111,1.5475,1.6301,Pinaroloxias,5,0.58333
4.224067,2.898917,2.277183,2.0111,1.929983,difficilis,6,0.228
4.244008,2.894717,2.407025,2.362658,2.221867,fortis,7,0.055
4.349867,2.9842,2.6544,2.5138,2.360167,conirostris,8,0.18333
4.23502,3.04912,2.25964,2.23004,2.07394,psittacula,9,0.02
4.4042,3.03895,2.724667,2.823767,2.675983,magnirostris,10,0.11
4.419686,3.270543,2.331471,2.347471,2.282443,Platyspiza,11,0.4655
4.1316,2.97306,1.97442,1.87354,1.81334,parvulus,12,0.02
