common_name,iucn_status_category,population_trend_category,synonyms,missing_seq,suborder,family,subfamily,genus,subgenus,SL_TL_ratio_snoutventtotaillength_ratio,TOTL_mm_totallength_quant,SL_male_mm_snoutventlength_quant,SL_female_mm_snoutventlength_quant,HL_mm_headlength_quant,SE_mm_snouteyelength_quant,BW_mm_bodywidth_quant,FLL_mm_forelimblength_quant,HLL_mm_hindlimblength_quant,presacral_vertebrae_count,costal_grooves_count,subdigitalpad_binary,webbed_toes_binary,maxillary_teeth_binary,premaxillary_teeth_binary,vomerine_teeth_male_binary,vomerine_teeth_female_binary,elevation_m_maxaltitude_quant,habit_category,habitat_cat_course,toes_count,fingers_count,cvalue_quant,ndiploid_count,HW,Clutch size,Egg size,label,_key,length
Mud Salamander,LC,unknown,Pseudotriton_diastictus,False,Salamandroidea,Plethodontidae,Spelerpinae,Pseudotriton,unknown,1.4,195.0,74.95,74.95,16,6.85,7.84,12.59,15.87,0,17,0,0.0,0,0,13,13,700.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,23.26666667,28.0,10.0,192,3.5,Pseudotriton_montanus,0,10.3900940000001
Gulf Coast Waterdog,LC,unknown,unknown,False,Salamandroidea,Proteidae,unknown,Necturus,unknown,2.2,223.0,137.92,137.92,30,12.46,14.68,19.04,18.02,0,16,0,0.0,0,0,0,0,100.0,aquatic,Aquatic,4.0,4.0,0.0,0.0,22.0,76,6.0,Necturus_beyeri,1,5.49552300000008
Black Mountain Salamander,LC,stable,Desmognathus_fuscus_welteri,False,Salamandroidea,Plethodontidae,Plethodontinae,Desmognathus,unknown,1.12,170.0,95.0,95.0,12.29,8.37,7.88,12.04,16.51,0,14,0,0.0,0,0,0,P,1220.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,0.0,0.0,0.0,0,0.0,Desmognathus_welteri,2,12.9200900000001
Imperial Cave Salamander,NT,stable,Speleomantes_imperialis,False,Salamandroidea,Plethodontidae,Plethodontinae,Hydromantes,unknown,1.37,150.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,1170.0,Terrestrial-troglodytic,Terrestrial,5.0,4.0,0.0,0.0,0.0,0,6.0,Hydromantes_imperialis,3,9.71355600000008
Mudpuppy,LC,stable,unknown,False,Salamandroidea,Proteidae,unknown,Necturus,unknown,2.5,490.0,204.0,204.0,50,17.343,22.486,28.456999999999997,29.714000000000002,0,15.5,0,0.0,0,12,14,14,900.0,aquatic,Aquatic,4.0,4.0,85.95714286,38.0,36.0,193,6.5,Necturus_maculosus,4,1.52276300000008
Blue Ridge Gray-cheeked Salamander,VU,unknown,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,glutinosus,1.07,131.96,68.46,68.46,11.12,8.0,7.58,16.44,19.26,0,16,0,0.0,0,0,17,17,1109.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,10.0,0,0.0,Plethodon_amplus,5,1.66772800000005
South Mountain Gray-cheeked Salamander,VU,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,glutinosus,0.96,180.0,73.92,73.92,11.68,8.02,8.36,17.28,19.38,0,16,0,0.0,0,0,20,230,823.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,11.0,0,0.0,Plethodon_meridianus,6,1.66772800000005
Oriental Fire-bellied Newt,LC,decreasing,unknown,False,Salamandroidea,Salmandridae,Pleurodelinae,Cynops,unknown,0.95,90.0,46.15,46.15,0,0.0,0.0,0.0,0.0,0,13,0,0.0,0,0,P,P,1000.0,Terrestrial-Aquatic,Terrestrial-Aquatic,5.0,4.0,44.27,0.0,0.0,100,2.0,Cynops_orientalis,7,11.322778
Southern Gray-cheeked Salamander,LC,stable,unknown,False,Salamandroidea,Plethodontidae,Plethodontinae,Plethodon,glutinosus,1.15,140.22,50.0,50.0,12.62,7.82,7.58,16.06,19.74,0,14,0,0.0,0,0,P,P,256.0,Terrestrial,Terrestrial,5.0,4.0,0.0,0.0,0.0,0,0.0,Plethodon_metcalfi,8,1.49882200000002
Sardinian Cave Salamander Hydromantes ,VU,stable,Speleomantes_sarrabusensis,False,Salamandroidea,Plethodontidae,Plethodontinae,Hydromantes,unknown,1.09,111.0,58.0,58.0,10.6,0.0,0.0,18.4,19.5,0,0,0,1.0,0,0,0,0,550.0,Terrestrial-troglodytic,Terrestrial,5.0,4.0,0.0,0.0,0.0,0,0.0,Hydromantes_sarrabusensis,9,7.60839000000005
