,Length__lowerCI95,Length__estimate,Length__upperCI95,lnlength_lowerCI95,lnlength_estimate,lnlength_upperCI95,label,_key,length
116,0.407550581629252,2.18430811317162,3.96106564471398,0.522990199501138,0.737242947636446,0.951495695771754,node 116,0,3.75715007312634
132,-0.251867608378957,1.89589199104593,4.04365159047082,0.352855484666301,0.611846026899328,0.870836569132355,node 132,1,3.1973427690519
136,-0.230104907743637,3.48569267762405,7.20149026299175,0.530923779002057,0.978998336191904,1.42707289338175,node 136,2,2.82919481678588
87,2.58240675413997,5.24464427270633,7.90688179127268,1.31088871028,1.63191827926493,1.95294784824985,node 87,3,2.09780790874451
139,6.13994454804301,10.5190370495804,14.8981295511177,1.55704639031938,2.08510527631641,2.61316416231345,node 139,4,8.05950563706868
122,0.72207287995478,1.95062725740259,3.1791816348504,0.511002859263965,0.659149776853423,0.807296694442881,node 122,5,1.49380592991341
92,2.7736632323585,5.60737861300153,8.44109399364456,1.35754189572092,1.69924935830813,2.04095682089535,node 92,6,4.18588686010226
96,5.03649317893085,7.54530028689033,10.0541073948498,1.70760004049886,2.01012799261347,2.31265594472807,node 96,7,4.77076941737209
79,0.206339024739384,3.83127626378892,7.45621350283845,0.756926189036644,1.19404422652721,1.63116226401777,node 79,8,15.5357091715774
117,0.600336165549801,2.00424771661836,3.40815926768692,0.496403971699371,0.665696575003679,0.834989178307986,node 117,9,0.97124810240818
149,15.8424023449733,18.3145748840406,20.7867474231078,2.55845313815144,2.85656346044173,3.15467378273203,node 149,10,1.57175999659927
131,-0.378117353804521,1.88913765479967,4.15639266340386,0.289471868363264,0.562871928694122,0.83627198902498,node 131,11,1.11256125140081
98,8.19629264294197,10.1007317172738,12.0051707916057,2.06106889903153,2.29071830143348,2.52036770383543,node 98,12,10.6267151923902
145,16.2410802821146,18.632083648969,21.0230870158234,2.53182617013593,2.82014859627172,3.1084710224075,node 145,13,1.29923212126132
114,0.217388444803438,2.42241760521205,4.62744676562065,0.540594138932557,0.806490609862908,1.07238708079326,node 114,14,1.54782402092934
141,13.3379085245661,13.7960870463916,14.2542655682172,2.56850710258433,2.62375718915775,2.67900727573118,node 141,15,4.90261189222141
121,0.37684356647324,1.68962334837645,3.00240313027966,0.348078372993849,0.506381726701922,0.664685080409995,node 121,16,0.54015998843792
123,0.631707738062024,2.78831675483539,4.94492577160876,0.690063398865916,0.950121060248657,1.2101787216314,node 123,17,0.887681672898042
104,0.666767553770774,2.63997894444882,4.61319033512687,0.643726776355705,0.881669183014689,1.11961158967367,node 104,18,1.18945825255267
135,0.955168096849555,3.82972636899023,6.7042846411309,0.945376206894057,1.29200876566902,1.63864132444399,node 135,19,9.74411200689487
101,1.17254936398704,3.36098447982061,5.54941959565417,0.802198643401178,1.06609409866689,1.3299895539326,node 101,20,9.36343367448333
119,0.602555165080475,1.91469933826562,3.22684351145077,0.465984700462358,0.624211408419862,0.782438116377366,node 119,21,0.360118818567863
118,0.701823918589324,2.09282748990915,3.48383106122898,0.55610705380389,0.723843130635145,0.8915792074664,node 118,22,1.39996846667432
146,14.2301608833885,16.5943479854506,18.9585350875127,2.44294558661068,2.728034336612,3.01312308661333,node 146,23,1.87122929656303
134,-0.4031273622868,1.65418128095938,3.71148992420555,0.207750289833179,0.455833679239375,0.703917068645571,node 134,24,0.697012122122972
107,0.94386493753278,2.32662601334849,3.7093870891642,0.660972521384265,0.827714665570295,0.994456809756324,node 107,25,0.203716288817029
81,1.88703063557787,5.69878134338627,9.51053205119467,1.02232241700811,1.48196761330325,1.94161280959839,node 81,26,2.84126884273892
88,2.41377344013505,5.19097956387269,7.96818568761033,1.29344877254153,1.62834198874333,1.96323520494513,node 88,27,1.71990401810342
137,-1.14129108710311,2.78343946158123,6.70817001026558,0.331625705623575,0.804894731260553,1.27816375689753,node 137,28,5.49191257981732
78,2.14909377228152,6.74111859329433,11.3331434143071,1.07922849209335,1.63296411439488,2.18669973669641,node 78,29,9.5178918284987
129,-0.155860714486562,3.17607449279427,6.5080097000751,0.571243119117878,0.973029104034461,1.37481508895104,node 129,30,3.06525370638517
110,1.06855750379282,2.20930532339802,3.35005314300322,0.649324282777961,0.786882925947246,0.92444156911653,node 110,31,0.66051619886634
144,15.2854723007417,17.7011106395122,20.1167489782828,2.48393535978615,2.77522842785792,3.06652149592969,node 144,32,3.52614342746019
99,0.502095767901694,4.03139944381741,7.56070311973313,0.677727062302366,1.10331299518572,1.52889892806908,node 99,33,6.32789853196363
85,3.12909836534448,5.72411714627236,8.31913592720023,1.38522161008658,1.69814551523749,2.01106942038841,node 85,34,2.95365408660095
90,2.75019363069386,5.2353149207437,7.72043621079354,1.34118081846108,1.64085258367968,1.94052434889828,node 90,35,1.56430832367619
143,11.899248749572,15.1443459410137,18.3894431324553,2.19120923277077,2.58252373623541,2.97383823970004,node 143,36,9.52252868531771
115,0.857429427472588,2.80076698334131,4.74410453921003,0.702537508652899,0.936877537895937,1.17121756713898,node 115,37,0.685724084960555
100,0.0944137210767018,3.43899665544415,6.78357958981161,0.621476689270892,1.02478781773569,1.42809894620049,node 100,38,6.29501942586359
97,4.27551058072077,7.29386313727035,10.3122156938199,1.56368068489255,1.9276528750206,2.29162506514865,node 97,39,1.37820947525691
148,15.2995010122468,17.7125957580036,20.1256905037603,2.51126736491666,2.80225371033006,3.09324005574347,node 148,40,1.34615731516885
128,1.78849841273091,4.29653707126239,6.80457572979387,0.964107781959784,1.26654306954429,1.56897835712881,node 128,41,3.67606678034387
112,1.13117752299811,2.19063772101072,3.25009791902332,0.651582788152535,0.779339251786113,0.907095715419691,node 112,42,0.151208177794264
125,2.1372403870037,3.85548658911148,5.57373279121926,1.08871832076932,1.29591539985252,1.50311247893571,node 125,43,0.98366906396677
84,3.48093161232579,6.32519932035973,9.16946702839367,1.42467126782534,1.76765119730946,2.11063112679358,node 84,44,3.40119882165279
86,2.94758963544142,5.46117790075005,7.97476616605868,1.35941299450015,1.66251748904282,1.9656219835855,node 86,45,1.49723976483854
108,0.843442455880772,2.33779517944801,3.83214790301525,0.654678074037311,0.83487665038995,1.01507522674259,node 108,46,0.446839200763141
82,1.65380956188802,2.547904415794,3.44199926969998,0.821339000469639,0.929154656878706,1.03697031328777,node 82,47,28.3579124726852
76,3.38124096851041,7.63997175752441,11.8987025465384,1.19501613364599,1.70856103716618,2.22210594068637,node 76,48,0
140,12.6383861510896,15.3641345728908,18.0898829946921,2.36323228381688,2.69192040232985,3.02060852084281,node 140,49,23.782631492045
124,1.99358650528067,3.9533649012972,5.91314329731372,1.07385205266089,1.31017462320221,1.54649719374353,node 124,50,4.79493923549654
126,2.19183736353613,3.82694543549269,5.46205350744924,1.08857195429409,1.28574370772451,1.48291546115494,node 126,51,0.680307805941918
77,2.99787168248802,6.91159787242601,10.825324062364,1.14135717045714,1.61329922037514,2.08524127029314,node 77,52,2.03897197088324
127,3.82136171713377,4.80007547220674,5.7787892272797,1.43868525674032,1.55670479960962,1.67472434247892,node 127,53,2.06044887533768
80,2.22063904763532,5.84744754293893,9.47425603824255,1.02295212770334,1.46029581320033,1.89763949869733,node 80,54,3.13617618891005
