Length_,lnlength,label,_key,length
6.15,1.81645208181843,Mesoplodon_layardii_AY579550,0,10.1655926967318
8.85,2.18041745901984,Berardius_arnuxii_AY579565,1,2.45533881493834
5.12,1.63315443905142,Globicephala_melas_AF084056,2,0.656056348094519
5.2,1.64865862558738,Mesoplodon_europaeus_X92537,3,9.03652786514763
7.25,1.98100146886658,Indopacetus_pacificus_AY162441_AY162442__,4,9.75291492239139
2.52,0.924258901523332,Platanista_minor_X92543,5,0.502279840737833
7.92,2.06939120582633,Hyperoodon_ampullatus_X92539,6,4.9821455050193
16.09,2.77819796100429,Balaenoptera_borealis_X75582,7,3.21278199356005
2.37,0.86288995514704,Tursiops_truncatus_AF084095_,8,2.56287365190676
21.2,3.05400118167797,Balaenoptera_physalus,9,6.66023816845732
12.0,2.484906649788,Berardius_bairdii_X92541,10,2.45533881493834
1.53,0.425267735404344,Cephalorhynchus_hectori_AF084071,11,1.76124721810426
1.86,0.62057648772511,Phocoena_dioptrica_ADU09681,12,5.22952486065713
2.3,0.832909122935104,Delphinus_delphis_AF084085_,13,1.53740069797554
4.71,1.54968790802833,Mesoplodon_densirostris_X92536,14,6.13058865270864
3.66,1.29746314741327,Grampus_griseus_AF084059,15,3.39681302937412
14.63,2.68307421503203,Eschrichtius_robustus_X75585,16,8.23199816505658
2.15,0.765467842139571,Tursiops_aduncus_AF084091__,17,1.90235745304042
3.05,1.11514159061932,Lagenorhynchus_albirostris,18,6.88981696053103
4.9,1.58923520511658,Mesoplodon_ginkgodens_AY579544,19,9.03652786514763
2.1,0.741937344729377,Lagenorhynchus_australis_AF084069,20,1.19517570941328
2.43,0.887891257352457,Lagenorhynchus_acutus_AF084075,21,6.88981696053103
2.13,0.756121979721334,Stenella_frontalis_AF084090,22,1.68860887576981
4.79,1.56653041142282,Globicephala_macrorhynchus_AF084055,23,0.656056348094519
2.52,0.924258901523332,Platanista_gangetica_AF304070_,24,0.502279840737833
4.43,1.48839958405704,Mesoplodon_hectori_AY228109_,25,9.50585532824249
2.64,0.970778917158225,Lagenodelphis_hosei_AF084099__,26,2.97686902170886
5.06,1.62136648329937,Pseudorca_crassidens__AF084057,27,4.38048209334089
7.45,2.00821403239147,Hyperoodon_planifrons_AY579559,28,4.9821455050193
7.92,2.06939120582633,Orcinus_orca_AF084061,29,6.03904274350753
13.7,2.61739583283408,Balaena_glacialis_X75587,30,0.131860294620191
2.3,0.832909122935104,Stenella_coeruleoalba_AF084082__,31,1.0570446824574
11.03,2.40061883326541,Physeter_catodon_X75589,32,25.3197455165733
5.67,1.73518911773966,Mesoplodon_stejnegeri_AY579554,33,7.94154700456629
4.47,1.49738840862548,Mesoplodon_bowdoini_AY579536,34,10.7564318832511
17.98,2.88926002904347,Megaptera_novaeangliae_X75584,35,6.66023816845732
15.4,2.73436750941958,Balaenoptera_edeni_X75583,36,3.21278199356005
6.37,1.85159946958407,Ziphius_cavirostris_AF304075__,37,13.0820540073285
33.58,3.51393065164939,Balaenoptera_musculus,38,8.27892335896412
1.98,0.683096844706444,Inia_geoffrensis_geoffrensis_AF334485,39,3.21515417209952
3.81,1.33762918913861,Delphinapterus_leucas_DLU72037,40,6.2691774850547
1.69,0.524728528934982,Cephalorhynchus_heavisidii_AF084070__,41,2.30140720654218
1.49,0.398776119957368,Sotalia_fluviatilis_AF304067,42,5.72594044490762
2.44,0.89199803930511,Sousa_chinensis_AF084080,43,3.62742451128903
1.46,0.378436435720245,Cephalorhynchus_commersonii_AF084073,44,1.76124721810426
2.43,0.887891257352457,Kogia_simus_AF304072,45,9.78403634499586
2.36,0.858661619037519,Lagenorhynchus_obliquidens_AF084067,46,1.64913199122023
1.41,0.343589704390077,Neophocaena_phocaenoides_AF334489,47,8.19917226105972
1.96,0.672944473242426,Stenella_longirostris_AF084103,48,4.16500011305271
4.27,1.45161382724053,Monodon_monoceros_MMU72038,49,6.2691774850547
2.55,0.936093359170335,Steno_bredanensis_AF084077,50,5.72594044490762
1.94,0.662687973075237,Phocoenoides_dalli_PDU09679,51,3.88926824060702
6.21,1.82616089594539,Caperea_marginata_X75586,52,22.6268275930033
2.02,0.703097511413113,Lipotes_vexillifer_AF304071,53,22.5443678074125
