species,SVL,PCI_limbs,PCII_head,PCIII_padwidth_vs_tail,PCIV_lamella_num,awesomeness,hostility,attitude,ecomorph,island,Genus,origin,island/mainland,Group,Clade,Nmorpho,SVL_SE,Tail,Tail_SE,Head-length,Head-length_SE,Head-width,Head-width_SE,Head-depth,Head-depth_SE,Lower-jaw-length,Lower-jaw-length_SE,Outlever,Outlever_SE,Snout,Snout_SE,Open,Open_SE,Close,Close_SE,Interlimb,Interlimb_SE,Body-height,Body-height_SE,Body-width,Body-width_SE,Femur,Femur_SE,Tibia,Tibia_SE,Tarsus,Tarsus_SE,Ltoe,Ltoe_SE,Hind-limb-length,Hind-limb-length_SE,Humerus,Humerus_SE,Radius,Radius_SE,Carpus,Carpus_SE,Longest-toe,Longest-toe_SE,Forelimb-length,Forelimb-length_SE
alutaceus,3.5548908139999997,1.173389987,-0.614938131,-1.653988306,1.411602279,0.32580702899999997,-0.523648505,0.504051566,GB,Cuba,Anolis,Cuba,I,I2,Anolis,3.0,3.17,90.95,12.21,11.22,0.64,4.85,0.34,4.31,0.26,10.92,0.67,9.97,0.55,8.41,0.42,0.96,0.19,1.55,0.2,15.49,1.31,4.42,0.28,3.76,0.64,8.92,0.65,8.81,0.52,5.25,0.42,5.52,0.25,28.49,1.58,5.4,0.39,4.01,0.46,1.79,0.42,2.44,0.35,13.64,1.41
angusticeps,3.7885954980000003,4.587110714,-1.976738307,1.1594670740000002,0.388356872,1.71321729,-1.8843879030000001,0.924717522,TW,Cuba,Anolis,Bahamas,I,I2,Anolis,42.0,2.51,54.23,10.51,14.25,0.91,6.6,0.55,4.87,0.42,14.8,1.01,13.54,0.94,11.36,0.83,1.26,0.22,2.18,0.4,,,,,,,8.13,0.56,7.32,0.51,3.87,0.6,5.24,0.39,24.52,1.41,6.05,0.67,4.93,0.42,1.56,0.2,3.48,0.4,16.01,0.97
argenteolus,3.971307363,-2.927973278,2.619644934,0.9791727259999999,2.941942272,0.490363636,-0.505416684,-0.202546511,U,Cuba,Anolis,Cuba,I,I2,Anolis,3.0,1.75,99.47,5.88,14.57,0.18,7.6,0.16,5.71,0.24,15.02,0.26,13.48,0.44,11.21,0.35,1.54,0.21,2.27,0.09,22.05,0.37,5.28,0.08,6.67,0.57,13.69,0.66,13.23,0.07,8.28,0.12,7.98,0.64,43.18,1.25,10.28,0.67,8.92,0.44,3.77,0.37,3.92,0.25,26.89,1.47
argillaceus,3.7578689919999997,-0.11307850900000001,-1.489443742,2.371081539,0.332641418,0.007554828,-0.259421287,-0.625599119,U,Cuba,Anolis,Cuba,I,I2,Anolis,3.0,1.57,80.62,6.55,13.58,0.42,7.98,0.09,6.26,0.12,13.93,0.31,12.58,0.24,10.52,0.08,1.34,0.08,2.06,0.2,19.37,0.47,6.63,0.39,6.27,0.33,8.61,0.95,8.79,0.53,5.87,0.34,6.46,0.49,29.73,1.39,8.06,0.41,6.62,0.53,2.56,0.55,3.62,0.43,20.86,0.97
bahorucoensis,3.8274450289999997,-0.047473321,-2.5569472369999997,-3.0896948760000003,1.5627187740000001,2.553879072,-2.337986521,2.470751171,GB,Hispaniola,Anolis,Dominican Republic,I,I2,Anolis,24.0,3.32,88.71,21.64,13.99,1.4,6.53,0.72,5.4,0.75,14.46,1.61,13.32,1.51,11.79,1.44,1.14,0.37,1.53,0.3,,,,,,,10.61,0.87,10.87,0.85,5.61,0.35,7.58,0.74,34.67,2.51,5.82,0.63,5.39,0.47,1.8,0.23,3.89,0.49,16.9,1.53
baracoae,5.042779747,0.768173923,0.069871275,0.18058913899999998,2.663091341,1.8219810859999999,-1.522244645,2.1759151130000003,CG,Cuba,Anolis,Cuba,I,I2,Anolis,9.0,5.94,,,38.43,1.83,20.54,1.93,16.42,1.68,37.46,2.18,35.9,1.99,32.11,1.97,1.56,1.02,4.01,0.55,,,,,,,28.77,2.59,26.53,1.33,9.96,1.02,20.23,2.26,85.48,5.14,18.76,0.97,19.2,1.14,4.22,0.44,12.65,0.42,54.82,2.21
barahonae,5.0769579369999995,0.907310396,2.332223415,-0.615846425,-0.1947378,1.8313708999999998,-1.331616706,1.706268537,CG,Hispaniola,Anolis,Dominican Republic,I,I2,Anolis,25.0,6.06,216.18,71.33,47.11,5.58,27.3,1.65,24.39,1.66,48.67,2.18,45.3,2.01,38.65,1.91,3.37,1.06,6.65,1.06,,,,,,,37.13,6.05,34.65,1.76,18.88,1.28,23.96,2.16,114.63,7.82,24.15,1.05,22.96,1.27,6.89,0.73,14.79,1.18,68.8,2.3
barbouri,3.663931948,-0.8753623690000001,1.340094336,-2.6138245159999998,-4.301471854,1.788945648,-0.9137251829999999,0.640252721,U,Hispaniola,Anolis,Dominican Republic,I,I2,Anolis,3.0,0.94,89.85,3.1,11.51,0.48,6.79,0.21,5.02,0.23,11.42,0.05,10.36,0.13,8.64,0.18,1.06,0.08,1.72,0.06,18.86,0.55,6.57,0.39,6.36,0.71,10.12,0.42,8.82,0.37,5.27,0.35,5.78,0.86,29.99,1.97,7.22,0.38,5.04,0.33,2.19,0.41,2.81,0.44,17.26,1.04
bartschi,4.280547466,-3.2550216819999997,0.8056565170000001,1.1234287920000001,1.7494370330000002,-1.189744988,1.025075387,0.259946248,U,Cuba,Anolis,Cuba,I,I2,Anolis,3.0,4.38,139.23,,21.89,1.29,11.84,0.49,9.43,0.63,23.06,1.01,20.82,1.2,17.03,0.83,2.24,0.2,3.79,0.4,34.12,1.28,10.93,0.28,12.36,1.89,20.3,0.57,19.85,0.43,11.63,0.27,11.06,0.61,62.84,1.51,14.46,0.49,12.87,0.59,3.55,0.16,6.5,0.4,37.37,0.79
brevirostris,3.874154977,-3.28900081,1.3842548819999998,2.407075589,-0.826669905,-1.538338585,1.63353366,-1.242478949,T,Hispaniola,Anolis,Dominican Republic,I,,Anolis,59.0,2.09,58.61,15.9,13.84,0.5,8.22,0.46,6.0,0.54,13.38,0.57,12.71,0.6,10.56,0.61,0.68,0.29,2.14,0.38,,,,,,,11.15,0.55,11.52,0.52,5.37,0.38,7.99,0.69,36.03,1.38,7.84,0.59,7.83,0.74,1.86,0.3,5.53,0.72,23.06,1.28
centralis,3.697941213,0.730738763,-0.416835974,1.7586476869999998,-1.13869021,-0.620236225,0.330225203,-0.717773581,U,Cuba,Anolis,Cuba,I,I2,Anolis,3.0,1.7,61.17,,12.59,0.9,6.92,0.31,5.49,0.03,12.37,0.55,11.12,0.46,9.11,0.28,1.25,0.09,2.01,0.18,17.88,0.42,6.12,0.43,5.97,0.55,7.51,0.12,7.73,0.34,4.86,0.38,5.65,0.34,25.75,0.31,7.82,0.76,5.69,0.47,2.46,0.13,3.3,0.12,19.28,0.37
chamaeleonides,5.04234927,2.9559742819999997,-3.692318891,1.3297303759999999,-1.51973745,-1.19399376,1.858148718,-1.433087428,U,Cuba,Anolis,Cuba,I,I2,Anolis,3.0,29.86,138.26,22.17,49.53,9.8,22.99,5.18,18.43,3.78,42.6,8.2,39.6,8.45,32.73,5.97,2.99,0.26,6.88,2.51,58.99,11.79,22.5,1.47,18.57,4.43,22.13,5.46,19.44,3.62,12.63,2.38,12.62,2.8,66.82,14.04,22.61,4.38,16.3,3.76,6.63,1.74,8.28,2.29,53.83,12.14
christophei,3.8846518089999997,-2.705963321,1.705275586,-0.17259211600000002,0.646933364,-0.266699615,0.220410336,1.465474826,U,Hispaniola,Anolis,Dominican Republic,I,I2,Anolis,3.0,2.81,87.35,,14.55,0.95,7.87,0.37,5.78,0.4,14.83,1.01,13.68,1.13,11.17,0.77,1.14,0.17,2.52,0.37,23.81,1.16,5.48,0.23,6.5,0.27,11.76,0.79,12.31,0.48,7.71,0.33,8.59,0.52,40.36,1.67,10.24,0.42,8.55,0.85,3.09,0.4,4.45,0.38,26.34,1.59
coelestinus,4.297965447,-0.027216832000000003,0.368753686,1.636431575,1.025717625,0.290926638,-0.620965953,1.280333497,TC,Hispaniola,Anolis,Dominican Republic,I,I2,Anolis,62.0,4.12,124.13,22.09,19.49,1.11,10.51,0.77,8.07,0.59,19.71,1.22,18.62,1.14,15.41,1.13,1.09,0.33,3.21,0.64,,,,,,,13.35,0.94,13.49,0.74,6.82,0.55,11.01,0.99,44.67,2.35,9.37,0.8,8.76,0.72,2.32,0.42,6.48,0.84,26.93,1.62
cristatellus,4.189820018,-3.3302633110000004,-0.622251891,1.2175309490000001,-1.218197026,0.830658098,-0.007447026999999999,0.390612322,TG,Puerto Rico,Anolis,Puerto Rico,I,I2,Anolis,25.0,6.41,99.46,20.25,19.56,1.85,10.48,1.39,7.94,1.1,19.15,1.73,18.06,1.75,14.81,1.32,1.18,0.4,3.26,0.59,32.6,3.36,7.91,1.57,7.53,1.94,17.47,1.73,16.93,1.52,7.04,1.04,13.18,1.42,54.09,6.27,11.99,1.27,11.26,1.27,2.81,0.38,8.26,0.86,33.99,4.18
cybotes,4.2109821610000004,-3.116379223,-2.99620854,-0.829905679,-2.090494641,0.905454434,-0.262630999,0.6846786359999999,TG,Hispaniola,Anolis,Dominican Republic,I,I2,Anolis,45.0,3.41,101.47,17.62,21.67,1.4,13.04,0.98,10.61,1.15,21.48,1.37,20.01,1.23,16.53,1.15,1.48,0.42,3.48,0.61,,,,,,,16.65,1.14,17.01,0.87,8.72,0.66,11.75,1.53,54.14,3.15,10.98,1.12,10.89,0.87,3.01,0.51,6.86,1.06,31.74,2.11
darlingtoni,4.302036009,4.067031705,-1.49378979,-0.200225929,0.311380865,1.7187200759999999,-1.6900790159999999,1.021456747,TW,Hispaniola,Anolis,Haiti,I,I2,Anolis,1.0,,87.66,,24.56,,11.22,,9.69,,24.74,,23.15,,19.18,,1.59,,3.97,,32.59,,9.96,,10.48,,14.26,,12.32,,7.49,,8.58,,42.65,,12.02,,9.19,,3.69,,4.86,,29.76,
distichus,3.928795837,-3.843433427,0.838907486,2.492216951,-1.039725065,1.9732008619999999,-1.6080036430000002,0.9146149990000001,T,Hispaniola,Anolis,Bahamas & Dominican Republic,I,I2,Anolis,62.0,3.31,56.73,9.48,13.67,1.07,8.95,1.19,6.33,0.88,13.96,1.48,12.96,1.55,11.14,1.38,0.99,0.06,1.82,0.17,,,,,,,11.94,1.76,11.79,2.03,5.9,1.18,7.62,1.57,37.25,6.54,8.92,1.06,8.04,1.0,2.26,0.35,5.22,0.8,24.44,3.21
dolichocephalus,3.9085503160000004,2.60131528,-2.595307699,-4.143932667,3.6702340189999996,0.739483022,-0.989799476,1.091913655,GB,Hispaniola,Anolis,Haiti,I,I2,Anolis,3.0,1.0,125.09,3.91,16.54,0.12,6.59,0.39,5.51,0.27,16.88,0.23,15.69,0.22,13.46,0.36,1.19,0.1,2.23,0.15,20.06,2.49,6.27,0.05,5.68,0.74,10.98,0.48,12.1,0.23,7.54,0.27,7.62,0.26,38.24,0.99,7.62,0.09,5.65,0.15,2.41,0.26,3.23,0.44,18.91,0.64
etheridgei,3.6579906010000003,-3.8106595519999997,-0.753409,-2.065920077,-0.748908659,0.8481496909999999,-0.960258609,0.18291181,U,Hispaniola,Anolis,Dominican Republic,I,I2,Anolis,3.0,2.69,102.12,5.79,12.97,0.64,7.25,0.46,6.17,0.45,13.23,0.78,12.02,0.73,9.95,0.74,1.2,0.06,2.08,0.11,19.77,2.02,5.5,0.42,5.67,0.47,12.74,0.32,12.73,0.95,7.52,0.75,8.49,0.57,41.48,2.39,7.84,0.23,6.65,0.14,2.83,0.25,3.96,0.2,21.28,0.74
evermanni,4.165605231,-2.528992449,0.12548098,1.882463297,1.9239208630000002,1.871367582,-2.0297296240000002,1.028775113,TC,Puerto Rico,Anolis,Puerto Rico,I,I2,Anolis,21.0,4.17,96.86,14.92,17.62,1.16,8.67,0.79,6.05,0.6,17.45,1.26,16.18,1.08,13.36,0.94,1.27,0.34,2.82,0.38,29.45,2.47,5.45,0.84,6.1,0.92,14.81,1.38,14.46,1.01,5.88,0.45,11.89,0.95,47.04,3.39,10.47,0.83,9.86,0.78,2.12,0.26,7.73,0.66,30.17,2.12
fowleri,4.288779948999999,-1.036670025,1.5038376219999998,-1.758925109,-1.719141106,1.456935239,-1.448418148,0.07531334,U,Hispaniola,Anolis,Dominican Republic,I,I2,Anolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garmani,4.769473237,-0.773526403,0.937124945,0.259499356,0.10511494800000001,0.167791307,0.6767560020000001,-0.694600797,CG,Puerto Rico,Anolis,Jamaica,I,I2,Norops,2.0,13.59,173.67,21.15,30.0,5.08,16.01,2.55,12.78,2.23,29.47,4.36,28.26,3.73,23.64,3.17,1.22,0.63,4.62,0.56,47.12,5.64,13.66,3.3,15.34,0.74,24.57,2.91,23.14,1.89,8.22,1.1,17.96,3.32,73.87,9.21,17.39,2.04,16.09,2.43,3.43,0.58,11.48,2.22,48.38,7.27
