species,domatia
Amaracarpus_grandifolius,0
Amaracarpus_kochii,0
Amaracarpus_muscifer,0
Amaracarpus_nematopodus,0
Amaracarpus_novoguineensis,0
Anthorrhiza_caerulea,1
Anthorrhiza_clemensii,1
Anthorrhiza_echinella,1
Calycosia_lageniformis,0
Calycosia_macrocyatha,0
Dolianthus_vaccinioides,0
Hedstromia_latifolia,0
Hydnophytum_contortum,1
Hydnophytum_formicarum,1
Hydnophytum_grandiflorum,1
Hydnophytum_hellwigii,1
Hydnophytum_moseleyanum,1
Hydnophytum_puffii,1
Hydnophytum_simplex,1
Hydnophytum_tetrapterum,1
Hydnophytum_tortuosum,1
Hydnophytum_vaccinifolium,1
Hydnophytum_vitisidaea,1
Myrmecodia_armata,1
Myrmecodia_aureospina,1
Myrmecodia_beccarii,1
Myrmecodia_dahlii,1
Myrmecodia_ferox,1
Myrmecodia_gracilispina,1
Myrmecodia_horrida,1
Myrmecodia_jobiensis,1
Myrmecodia_melanacantha,1
Myrmecodia_pendens,1
Myrmecodia_platyrea,1
Myrmecodia_pteroaspida,1
Myrmecodia_salomonensis,1
Myrmecodia_sterrophylla,1
Myrmecodia_tuberosa,1
Myrmephytum_arfakianum,1
Myrmephytum_beccarii,1
Myrmephytum_selebicum,1
Notopleura_anomothyrsa,0
Notopleura_capitata,0
Notopleura_dukei,0
Notopleura_guadalupensis,0
Notopleura_polyphlebia,0
Notopleura_tapajozensis,0
Notopleura_uliginosa,0
Psychotria_abrahamii,0
Psychotria_adenophylla,1
Psychotria_aguilarii,0
Psychotria_alaotra,0
Psychotria_albicaulis,0
Psychotria_allenii,0
Psychotria_alsophila,0
Psychotria_amboniana,1
Psychotria_amita,0
Psychotria_ammericola,0
Psychotria_amoena,0
Psychotria_anceps,0
Psychotria_andapae,0
Psychotria_andevorantensis,0
Psychotria_aneityensis,0
Psychotria_anetoclada,0
Psychotria_ankafinensis,0
Psychotria_ankarensis,0
Psychotria_ankasensis,0
Psychotria_antakaranensis,0
Psychotria_arborea,0
Psychotria_archboldiana,0
Psychotria_armandii,1
Psychotria_asiatica,0
Psychotria_aubletiana,0
Psychotria_auxopoda,0
Psychotria_avilensis,0
Psychotria_bahiensis,0
Psychotria_baillonii,0
Psychotria_bakossiensis,0
Psychotria_baladensis,0
Psychotria_barbiflora,1
Psychotria_batopedina,0
Psychotria_baviensis,0
Psychotria_berteroana,0
Psychotria_biaurita,0
Psychotria_bifaria,0
Psychotria_bimbiensis,0
Psychotria_boiviniana,0
Psychotria_boquetensis,0
Psychotria_borbonica,0
Psychotria_borjensis,0
Psychotria_borucana,0
Psychotria_brachiata,0
Psychotria_brachyantha,0
Psychotria_brachyanthoides,0
Psychotria_brachybotrya,0
Psychotria_brachylaena,0
Psychotria_brackenridgei,0
Psychotria_bracteocardia,0
Psychotria_brasiliensis,0
Psychotria_bremekampiana,0
Psychotria_brevicalyx,0
Psychotria_brevicaulis,0
Psychotria_brevipuberula,0
Psychotria_brieyi,0
Psychotria_brownei,0
Psychotria_buchtienii,0
Psychotria_bullulata,0
Psychotria_butayei,0
Psychotria_cadigensis,0
Psychotria_caerulea,0
Psychotria_calimensis,0
Psychotria_calophylla,0
Psychotria_calothyrsus,0
Psychotria_calva,0
Psychotria_camerunensis,1
Psychotria_camptopus,0
Psychotria_capensis,1
Psychotria_capitata,1
Psychotria_cardiochlamys,0
Psychotria_carnea,0
Psychotria_carthagenensis,1
Psychotria_cascajalensis,0
Psychotria_cenepensis,0
Psychotria_cephalophora,0
Psychotria_chagrensis,0
Psychotria_chiriquensis,0
Psychotria_chitariana,0
Psychotria_chrysantha,0
Psychotria_cinerea,0
Psychotria_clivorum,0
Psychotria_cocosensis,1
Psychotria_coelospermum,0
Psychotria_collina,0
Psychotria_comorensis,0
Psychotria_comperei,0
Psychotria_comptonii,0
Psychotria_confertiloba,0
Psychotria_conocarpa,1
Psychotria_cooperi,0
Psychotria_coptosperma,0
Psychotria_cordobensis,0
Psychotria_correae,0
Psychotria_costivenia,0
Psychotria_costularia,0
Psychotria_cryptogrammata,1
Psychotria_cupularis,0
Psychotria_cuspidata,0
