species,island/mainland,Group,Clade,Nmorpho,SVL,Tail,Head_length,Head_width,Head_depth,Lower_jaw_length,Outlever,Snout,Open,Close,Interlimb,Body_height,Body_width,Femur,Tibia,Tarsus,Ltoe,Hind_limb_length,Humerus,Radius,Carpus,Longest_toe,Forelimb_length
acutus,I,I2,Anolis,3,55.58,72.66,17.86,9.7,7.76,18.72,16.83,13.76,1.89,3.07,23.28,10.49,12.06,13.67,14.31,8.58,9.17,45.73,10.55,9.11,3.11,4.44,27.21
aeneus,I,I1,Dactyloa,6,61.42,105.53,17.37,10.01,7.66,18.34,16.58,13.41,1.75,3.17,26.99,9.59,9.95,13.46,12.84,7.81,8.36,42.46,11.55,9.24,3.09,4,27.87
aequatorialis,M,M1,Dactyloa,4,80.39,221.18,20.87,11.16,9.58,20.76,19.23,15.8,1.53,3.43,39.73,13.32,13.54,21.65,21.74,14.63,19.74,77.76,16.94,14.07,4.92,11.26,47.18
agassizi,I,NA,Dactyloa,18,102.38,161.02,25.38,14.92,12.58,27.36,25.15,20.25,2.21,4.89,48.79,17.26,18.9,26.84,24.24,15.53,14.31,80.9,18.84,18.14,7.2,8.47,52.65
altae,M,M2b,Norops,2,45.74,78.78,13.37,7.16,5.75,13.01,11.98,10.05,1.03,1.93,21.93,5.62,6.58,9.95,9.56,6.27,6.39,32.17,7.66,5.5,2.03,3.82,19
alutaceus,I,I2,Anolis,3,34.2,90.95,11.22,4.85,4.31,10.92,9.97,8.41,0.96,1.55,15.49,4.42,3.76,8.92,8.81,5.25,5.52,28.49,5.4,4.01,1.79,2.44,13.64
alvarezdeltoroi,M,M2a,Norops,7,67.62,125.2,18.26,9.87,7.56,18.7,17.26,14.63,1.44,2.63,34.37,9.58,9.23,20.8,20.51,11.39,13.2,65.89,14.15,12.57,3.61,7.87,38.19
anchicayae,M,M1,Dactyloa,3,53.03,117.25,14.39,7.3,5.62,14.6,13.49,11.03,1.11,2.46,25.06,5.3,6.37,12.03,12.39,8.01,8.67,41.1,10.12,7.48,2.45,4.03,24.09
angusticeps,I,I2,Anolis,42,45.99,54.23,14.25,6.6,4.87,14.8,13.54,11.36,1.26,2.18,NA,NA,NA,8.13,7.32,3.87,5.24,24.52,6.05,4.93,1.56,3.48,16.01
anisolepis,M,NA,Norops,3,39.31,87.38,12.86,7.78,6.02,12.81,11.56,9.5,1.26,2.05,17.31,6.44,6.6,8.94,8.82,5.67,5.57,29.01,7.12,5.19,2.15,3.06,17.52
