species,common_name,iucn_status_category,population_trend_category,synonyms,missing_seq,suborder,family,subfamily,genus,subgenus,SL_TL_ratio_snoutventtotaillength_ratio,TOTL_mm_totallength_quant,SL_male_mm_snoutventlength_quant,SL_female_mm_snoutventlength_quant,HL_mm_headlength_quant,SE_mm_snouteyelength_quant,BW_mm_bodywidth_quant,FLL_mm_forelimblength_quant,HLL_mm_hindlimblength_quant,presacral_vertebrae_count,costal_grooves_count,subdigitalpad_binary,webbed_toes_binary,maxillary_teeth_binary,premaxillary_teeth_binary,vomerine_teeth_male_binary,vomerine_teeth_female_binary,elevation_m_maxaltitude_quant,habit_category,habitat_cat_course,toes_count,fingers_count,cvalue_quant,ndiploid_count,HW,Clutch size,Egg size
Ambystoma_altamirani,Mountain Stream Salamander,EN,decreasing,unknown,True,Salamandroidea,Ambystomatidae,unknown,Ambystoma,unknown,1.3,255.0,180.0,180.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,3200.0,semiaquatic,Semiaquatic,5.0,4.0,0.0,0.0,0.0,0,0.0
Ambystoma_amblycephalum,Blunt-headed Salamander,CR,decreasing,unknown,False,Salamandroidea,Ambystomatidae,unknown,Ambystoma,unknown,1.3,161.0,90.0,93.0,20,0.0,0.0,30.0,33.2,0,11,0,1.0,80,80,37,37,2000.0,semiaquatic,Semiaquatic,5.0,4.0,0.0,0.0,17.5,0,0.0
Ambystoma_andersoni,Anderson's Salamander ,CR,decreasing,unknown,False,Salamandroidea,Ambystomatidae,unknown,Ambystoma,unknown,1.5,235.0,140.0,140.0,25,0.0,0.0,0.0,0.0,15,14,0,1.0,P,P,79,79,2000.0,semiaquatic,Semiaquatic,5.0,4.0,0.0,0.0,0.0,0,2.3
Ambystoma_annulatum,Ringed Salamander,LC,stable,unknown,True,Salamandroidea,Ambystomatidae,unknown,Ambystoma,unknown,1.0,235.0,89.3,94.9,17,7.122000000000001,9.456,17.211,20.789,0,15,0,0.0,P,P,11,11,0.0,fossorial,Terrestrial,5.0,4.0,26.01333333,28.0,14.0,45,2.0
Ambystoma_barbouri,Streamside Salamander,NT,decreasing,unknown,False,Salamandroidea,Ambystomatidae,unknown,Ambystoma,unknown,1.5,170.0,75.267,75.267,10.067,6.1,8.133,14.467,18.8,0,14.5,0,0.0,P,P,60,60,300.0,fossorial-saxicalous,Terrestrial,5.0,4.0,0.0,0.0,0.0,397,3.8
Ambystoma_bishopi,Reticulated Flatwoods Salamander,VU,decreasing,unknown,True,Salamandroidea,Ambystomatidae,unknown,Ambystoma,unknown,0.86,110.51,47.08,51.17,12,0.0,0.0,12.5,13.5,0,14,0,0.0,0,0,0,0,50.0,semiaquatic,Semiaquatic,5.0,4.0,0.0,0.0,6.3,225,0.0
Ambystoma_bombypellum,Delicate-skinned Salamander ,CR,decreasing,unknown,True,Salamandroidea,Ambystomatidae,unknown,Ambystoma,unknown,1.5,142.0,84.0,84.0,20.5,0.0,0.0,24.3,26.6,0,11.5,0,0.0,P,P,15-17,15-17,2500.0,semiaquatic,Semiaquatic,5.0,4.0,0.0,0.0,0.0,0,0.0
Ambystoma_californiense,California Tiger Salamander,VU,decreasing,unknown,False,Salamandroidea,Ambystomatidae,unknown,Ambystoma,unknown,1.1,220.0,102.5,102.5,26,13.3,14.1,27.3,32.4,0,12,0,0.0,0,0,P,P,1200.0,semiaquatic,Semiaquatic,5.0,4.0,32.0,0.0,20.0,1340,3.4
Ambystoma_cingulatum,Frosted Flatwoods Salamander,VU,decreasing,unknown,False,Salamandroidea,Ambystomatidae,unknown,Ambystoma,unknown,0.65,135.0,50.49,52.34,12.6,5.55,5.9,14.5,15.7,0,14.6,0,0.0,0,0,0,0,100.0,semiaquatic,Semiaquatic,5.0,4.0,29.5,0.0,7.4,225,0.0
Ambystoma_dumerilii,Lake Patzcuaro Salamander ,CR,decreasing,Siredon_dumerilii,False,Salamandroidea,Ambystomatidae,unknown,Ambystoma,unknown,1.0,205.0,122.0,122.0,54,0.0,0.0,49.0,48.0,0,12,0,1.0,P,P,37-38,37-38,1920.0,aquatic,Aquatic,5.0,4.0,0.0,0.0,44.0,0,0.0
